电影名,年份,评分,短评
肖申克的救赎,未知年份,9.7,暂无短评
霸王别姬,未知年份,9.6,暂无短评
泰坦尼克号,未知年份,9.5,暂无短评
阿甘正传,未知年份,9.5,暂无短评
千与千寻,未知年份,9.4,暂无短评
美丽人生,未知年份,9.5,暂无短评
星际穿越,未知年份,9.4,暂无短评
这个杀手不太冷,未知年份,9.4,暂无短评
盗梦空间,未知年份,9.4,暂无短评
楚门的世界,未知年份,9.4,暂无短评
辛德勒的名单,未知年份,9.5,暂无短评
忠犬八公的故事,未知年份,9.4,暂无短评
海上钢琴师,未知年份,9.3,暂无短评
疯狂动物城,未知年份,9.3,暂无短评
三傻大闹宝莱坞,未知年份,9.2,暂无短评
机器人总动员,未知年份,9.3,暂无短评
放牛班的春天,未知年份,9.3,暂无短评
无间道,未知年份,9.3,暂无短评
控方证人,未知年份,9.6,暂无短评
寻梦环游记,未知年份,9.1,暂无短评
大话西游之大圣娶亲,未知年份,9.2,暂无短评
熔炉,未知年份,9.3,暂无短评
触不可及,未知年份,9.3,暂无短评
教父,未知年份,9.3,暂无短评
末代皇帝,未知年份,9.3,暂无短评
哈利·波特与魔法石,未知年份,9.2,暂无短评
当幸福来敲门,未知年份,9.1,暂无短评
龙猫,未知年份,9.2,暂无短评
活着,未知年份,9.3,暂无短评
怦然心动,未知年份,9.1,暂无短评
蝙蝠侠：黑暗骑士,未知年份,9.2,暂无短评
指环王3：王者无敌,未知年份,9.3,暂无短评
我不是药神,未知年份,9.0,暂无短评
乱世佳人,未知年份,9.3,暂无短评
飞屋环游记,未知年份,9.1,暂无短评
让子弹飞,未知年份,9.0,暂无短评
哈尔的移动城堡,未知年份,9.1,暂无短评
十二怒汉,未知年份,9.4,暂无短评
海蒂和爷爷,未知年份,9.3,暂无短评
素媛,未知年份,9.3,暂无短评
猫鼠游戏,未知年份,9.1,暂无短评
天空之城,未知年份,9.2,暂无短评
鬼子来了,未知年份,9.3,暂无短评
摔跤吧！爸爸,未知年份,9.0,暂无短评
少年派的奇幻漂流,未知年份,9.1,暂无短评
钢琴家,未知年份,9.3,暂无短评
指环王2：双塔奇兵,未知年份,9.2,暂无短评
死亡诗社,未知年份,9.2,暂无短评
大话西游之月光宝盒,未知年份,9.0,暂无短评
绿皮书,未知年份,8.9,暂无短评
何以为家,未知年份,9.1,暂无短评
闻香识女人,未知年份,9.1,暂无短评
大闹天宫,未知年份,9.4,暂无短评
黑客帝国,未知年份,9.1,暂无短评
指环王1：护戒使者,未知年份,9.1,暂无短评
罗马假日,未知年份,9.1,暂无短评
教父2,未知年份,9.3,暂无短评
狮子王,未知年份,9.1,暂无短评
天堂电影院,未知年份,9.2,暂无短评
饮食男女,未知年份,9.2,暂无短评
辩护人,未知年份,9.2,暂无短评
本杰明·巴顿奇事,未知年份,9.0,暂无短评
搏击俱乐部,未知年份,9.0,暂无短评
美丽心灵,未知年份,9.1,暂无短评
穿条纹睡衣的男孩,未知年份,9.2,暂无短评
情书,未知年份,8.9,暂无短评
哈利·波特与死亡圣器(下),未知年份,9.0,暂无短评
两杆大烟枪,未知年份,9.1,暂无短评
窃听风暴,未知年份,9.2,暂无短评
音乐之声,未知年份,9.1,暂无短评
功夫,未知年份,8.9,暂无短评
哈利·波特与阿兹卡班的囚徒,未知年份,9.0,暂无短评
西西里的美丽传说,未知年份,8.9,暂无短评
阿凡达,未知年份,8.8,暂无短评
看不见的客人,未知年份,8.8,暂无短评
拯救大兵瑞恩,未知年份,9.1,暂无短评
沉默的羔羊,未知年份,8.9,暂无短评
小鞋子,未知年份,9.2,暂无短评
布达佩斯大饭店,未知年份,8.9,暂无短评
蝴蝶效应,未知年份,8.9,暂无短评
飞越疯人院,未知年份,9.1,暂无短评
禁闭岛,未知年份,8.9,暂无短评
还有明天,未知年份,9.3,暂无短评
心灵捕手,未知年份,9.0,暂无短评
致命魔术,未知年份,8.9,暂无短评
低俗小说,未知年份,8.9,暂无短评
超脱,未知年份,9.0,暂无短评
哈利·波特与密室,未知年份,8.9,暂无短评
一一,未知年份,9.1,暂无短评
喜剧之王,未知年份,8.8,暂无短评
摩登时代,未知年份,9.3,暂无短评
杀人回忆,未知年份,8.9,暂无短评
致命ID,未知年份,8.9,暂无短评
春光乍泄,未知年份,9.0,暂无短评
加勒比海盗,未知年份,8.8,暂无短评
海豚湾,未知年份,9.3,暂无短评
美国往事,未知年份,9.1,暂无短评
红辣椒,未知年份,9.0,暂无短评
七宗罪,未知年份,8.8,暂无短评
唐伯虎点秋香,未知年份,8.8,暂无短评
狩猎,未知年份,9.1,暂无短评
幽灵公主,未知年份,8.9,暂无短评
甜蜜蜜,未知年份,8.9,暂无短评
寄生虫,未知年份,8.8,暂无短评
天书奇谭,未知年份,9.2,暂无短评
蝙蝠侠：黑暗骑士崛起,未知年份,8.9,暂无短评
超能陆战队,未知年份,8.8,暂无短评
7号房的礼物,未知年份,8.9,暂无短评
第六感,未知年份,8.9,暂无短评
茶馆,未知年份,9.5,暂无短评
爱在黎明破晓前,未知年份,8.8,暂无短评
爱在日落黄昏时,未知年份,8.9,暂无短评
被嫌弃的松子的一生,未知年份,8.8,暂无短评
哈利·波特与火焰杯,未知年份,8.8,暂无短评
头脑特工队,未知年份,8.8,暂无短评
未麻的部屋,未知年份,9.1,暂无短评
重庆森林,未知年份,8.8,暂无短评
借东西的小人阿莉埃蒂,未知年份,8.9,暂无短评
菊次郎的夏天,未知年份,8.9,暂无短评
入殓师,未知年份,8.9,暂无短评
断背山,未知年份,8.8,暂无短评
剪刀手爱德华,未知年份,8.7,暂无短评
勇敢的心,未知年份,8.9,暂无短评
时空恋旅人,未知年份,8.8,暂无短评
驯龙高手,未知年份,8.8,暂无短评
消失的爱人,未知年份,8.7,暂无短评
无人知晓,未知年份,9.1,暂无短评
倩女幽魂,未知年份,8.8,暂无短评
傲慢与偏见,未知年份,8.7,暂无短评
新世界,未知年份,8.9,暂无短评
花样年华,未知年份,8.8,暂无短评
玩具总动员3,未知年份,8.9,暂无短评
一个叫欧维的男人决定去死,未知年份,8.9,暂无短评
完美的世界,未知年份,9.1,暂无短评
色，戒,未知年份,8.7,暂无短评
阳光灿烂的日子,未知年份,8.8,暂无短评
怪兽电力公司,未知年份,8.8,暂无短评
小森林 夏秋篇,未知年份,9.0,暂无短评
天使爱美丽,未知年份,8.7,暂无短评
教父3,未知年份,9.0,暂无短评
侧耳倾听,未知年份,8.9,暂无短评
哪吒闹海,未知年份,9.2,暂无短评
九品芝麻官,未知年份,8.8,暂无短评
被解救的姜戈,未知年份,8.8,暂无短评
请以你的名字呼唤我,未知年份,8.8,暂无短评
幸福终点站,未知年份,8.8,暂无短评
釜山行,未知年份,8.6,暂无短评
神偷奶爸,未知年份,8.7,暂无短评
